ID,Ring Count,Last Year,First Year,Species,Elevation,elev.bin,elev.bin2,latitude,longitude,Ht (tot),Ht (Live),Ht (dead),DRC (cm),DBH (cm),Apex #,Apex Length,Needles (HiMeLo),Sex (1) Ramet (2),Circ (cm),Crown D 1 (cm) ,Crown D 2(cm) 
364,41,2012,1971,Pg,1386.816895,1390,1300,63.2714762,-129.9731702,282,282,0,NA,NA,2,7,3,1,21.5,118,104.5
1427,26,2014,1988,Pb,1404.67395,1400,1400,63.35013298,-129.726881,250,NA,NA,9,6,NA,NA,NA,NA,NA,NA,NA
1426,NA,2014,NA,Pb,1418.844727,1420,1400,63.35172504,-129.723253,370,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA
1425,35,2014,1979,Pb,1420.092407,1420,1400,63.35190299,-129.722803,390,NA,NA,8,5.5,NA,NA,NA,NA,NA,NA,NA
1424,20,2014,1994,Pb,1432.177246,1430,1400,63.35263004,-129.72062,330,NA,NA,8,5.7,NA,NA,NA,NA,NA,NA,NA
1423,24,2014,1990,Pb,1427.630859,1430,1400,63.35263104,-129.720613,370,NA,NA,8.1,5.7,NA,NA,NA,NA,NA,NA,NA
1421,27,2014,1987,Pb,1443.479248,1440,1400,63.35389696,-129.717394,240,NA,NA,7.1,3.4,NA,NA,NA,NA,NA,NA,NA
1422,30,2014,1984,Pb,1435.082031,1440,1400,63.353185,-129.719281,350,NA,NA,8.9,8.2,NA,NA,NA,NA,NA,NA,NA
1415,21,2014,1993,Pb,1451.04895,1450,1400,63.35458604,-129.715913,380,NA,NA,6.8,3.9,NA,NA,NA,NA,NA,NA,NA
1416,46,2014,1968,Pb,1451.050903,1450,1400,63.354579,-129.715942,400,NA,NA,13.2,8.5,NA,NA,NA,NA,NA,NA,NA
1417,35,2014,1979,Pb,1452.047607,1450,1400,63.35458201,-129.715957,400,NA,NA,10,6.9,NA,NA,NA,NA,NA,NA,NA
1420,28,2014,1986,Pb,1448.463623,1450,1400,63.35436802,-129.716503,430,NA,NA,9.3,6.9,NA,NA,NA,NA,NA,NA,NA
1418,29,2014,1985,Pb,1447.964478,1450,1400,63.35438797,-129.716462,470,NA,NA,9.9,6.5,NA,NA,NA,NA,NA,NA,NA
1419,NA,2014,NA,Pb,1449.48999,1450,1400,63.35439401,-129.716465,510,NA,NA,8.9,6.9,NA,NA,NA,NA,NA,NA,NA
14161,NA,2014,NA,Pb,1450.999878,1450,1400,63.35458696,-129.715916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,32,2014,1982,Pb,1455.91626,1460,1400,63.35493104,-129.714852,340,NA,NA,5.3,4,NA,NA,NA,NA,NA,NA,NA
1410,21,2014,1993,Pb,1467.700684,1470,1400,63.35597098,-129.71243,220,NA,NA,3.7,3,NA,NA,NA,NA,NA,NA,NA
1413,33,2014,1981,Pb,1469.72876,1470,1400,63.35569496,-129.712974,240,NA,NA,6.8,3.2,NA,NA,NA,NA,NA,NA,NA
1409,13,2014,2001,Pb,1466.833008,1470,1400,63.356047,-129.712256,250,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
1411,22,2014,1992,Pb,1467.302734,1470,1400,63.35569303,-129.71293,280,NA,NA,5.7,4.9,NA,NA,NA,NA,NA,NA,NA
1412,14,2014,2000,Pb,1466.779541,1470,1400,63.35569203,-129.712954,340,NA,NA,13.6,8.9,NA,NA,NA,NA,NA,NA,NA
1408,47,2014,1967,Pb,1477.451538,1480,1400,63.35652997,-129.711252,220,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA
1405,NA,2014,NA,Pb,1478.64978,1480,1400,63.35672401,-129.711379,280,NA,NA,4.6,3.8,NA,NA,NA,NA,NA,NA,NA
1406,18,2014,1996,Pb,1478.582397,1480,1400,63.35670004,-129.711406,300,NA,NA,7.6,4.7,NA,NA,NA,NA,NA,NA,NA
1407,46,2014,1968,Pb,1477.560425,1480,1400,63.35670096,-129.71138,380,NA,NA,11.3,6,NA,NA,NA,NA,NA,NA,NA
1404,29,2014,1985,Pb,1488.082642,1490,1400,63.35757603,-129.710684,240,NA,NA,10,7.3,NA,NA,NA,NA,NA,NA,NA
1403,NA,2014,NA,Pb,1488.440918,1490,1400,63.35775498,-129.710497,260,NA,NA,7.5,5,NA,NA,NA,NA,NA,NA,NA
1402,21,2014,1993,Pb,1488.77063,1490,1400,63.35778901,-129.71053,280,NA,NA,6.9,4,NA,NA,NA,NA,NA,NA,NA
1401,13,2014,2001,Pb,1500.303589,1500,1500,63.35911604,-129.710418,240,NA,NA,4.7,2.8,NA,NA,NA,NA,NA,NA,NA
1098,NA,2012,NA,Pg,1515.873047,1520,1500,63.36086702,-129.7104404,182,182,0,NA,NA,1,10.5,1,1,17.5,133,119
POP3,24,2014,1990,Pb,1575.639282,1580,1500,63.42397797,-129.536551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POP1,NA,2014,NA,Pb,1585.874146,1590,1500,63.42596901,-129.550926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POP2,36,2014,1978,Pb,1587.377808,1590,1500,63.42591,-129.550385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POP4,34,2014,1980,Pb,1591.645874,1590,1500,63.42597202,-129.551357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,NA,2013,NA,Pb,NA,NA,NA,NA,NA,210,NA,NA,4.3,1.8,NA,NA,NA,NA,NA,NA,NA
496,NA,2013,NA,Pb,NA,NA,NA,NA,NA,220,NA,NA,3.6,2.1,NA,NA,NA,NA,NA,NA,NA
483,NA,2013,NA,Pb,NA,NA,NA,NA,NA,280,NA,NA,8.8,3.8,NA,NA,NA,NA,NA,NA,NA
493,NA,2013,NA,Pb,NA,NA,NA,NA,NA,290,NA,NA,5.9,4.8,NA,NA,NA,NA,NA,NA,NA
498,NA,2013,NA,Pb,NA,NA,NA,NA,NA,300,NA,NA,6.5,3.5,NA,NA,NA,NA,NA,NA,NA
495,NA,2013,NA,Pb,NA,NA,NA,NA,NA,320,NA,NA,6.9,4.2,NA,NA,NA,NA,NA,NA,NA
484,NA,2013,NA,Pb,NA,NA,NA,NA,NA,330,NA,NA,7.3,3.8,NA,NA,NA,NA,NA,NA,NA
492,NA,2013,NA,Pb,NA,NA,NA,NA,NA,340,NA,NA,7.3,4.1,NA,NA,NA,NA,NA,NA,NA
481,NA,2013,NA,Pb,NA,NA,NA,NA,NA,350,NA,NA,8.3,6.9,NA,NA,NA,NA,NA,NA,NA
489,NA,2013,NA,Pb,NA,NA,NA,NA,NA,360,NA,NA,8.9,6.4,NA,NA,NA,NA,NA,NA,NA
490,NA,2013,NA,Pb,NA,NA,NA,NA,NA,360,NA,NA,8.7,6.2,NA,NA,NA,NA,NA,NA,NA
494,NA,2013,NA,Pb,NA,NA,NA,NA,NA,360,NA,NA,8.8,7.3,NA,NA,NA,NA,NA,NA,NA
464,NA,2013,NA,Pb,NA,NA,NA,NA,NA,380,NA,NA,9.2,5.5,NA,NA,NA,NA,NA,NA,NA
478,NA,2013,NA,Pb,NA,NA,NA,NA,NA,380,NA,NA,9.8,3.2,NA,NA,NA,NA,NA,NA,NA
488,NA,2013,NA,Pb,NA,NA,NA,NA,NA,390,NA,NA,9,6.7,NA,NA,NA,NA,NA,NA,NA
497,NA,2013,NA,Pb,NA,NA,NA,NA,NA,400,NA,NA,10.6,6.4,NA,NA,NA,NA,NA,NA,NA
485,NA,2013,NA,Pb,NA,NA,NA,NA,NA,410,NA,NA,12.6,7.9,NA,NA,NA,NA,NA,NA,NA
467,NA,2013,NA,Pb,NA,NA,NA,NA,NA,420,NA,NA,11.5,6.3,NA,NA,NA,NA,NA,NA,NA
465,NA,2013,NA,Pb,NA,NA,NA,NA,NA,440,NA,NA,12.4,10.2,NA,NA,NA,NA,NA,NA,NA
466,NA,2013,NA,Pb,NA,NA,NA,NA,NA,440,NA,NA,9.2,5.4,NA,NA,NA,NA,NA,NA,NA
479,NA,2013,NA,Pb,NA,NA,NA,NA,NA,440,NA,NA,6.9,5,NA,NA,NA,NA,NA,NA,NA
461,NA,2013,NA,Pb,NA,NA,NA,NA,NA,450,NA,NA,11.6,7.7,NA,NA,NA,NA,NA,NA,NA
470,NA,2013,NA,Pb,NA,NA,NA,NA,NA,450,NA,NA,14.1,9.2,NA,NA,NA,NA,NA,NA,NA
475,NA,2013,NA,Pb,NA,NA,NA,NA,NA,450,NA,NA,8.7,6.5,NA,NA,NA,NA,NA,NA,NA
476,NA,2013,NA,Pb,NA,NA,NA,NA,NA,450,NA,NA,8,6.8,NA,NA,NA,NA,NA,NA,NA
688,NA,2013,NA,Pb,NA,NA,NA,NA,NA,460,NA,NA,14.2,8.9,NA,NA,NA,NA,NA,NA,NA
463,NA,2013,NA,Pb,NA,NA,NA,NA,NA,470,NA,NA,9,6,NA,NA,NA,NA,NA,NA,NA
469,NA,2013,NA,Pb,NA,NA,NA,NA,NA,470,NA,NA,11,6.3,NA,NA,NA,NA,NA,NA,NA
471,NA,2013,NA,Pb,NA,NA,NA,NA,NA,470,NA,NA,9,5.8,NA,NA,NA,NA,NA,NA,NA
477,NA,2013,NA,Pb,NA,NA,NA,NA,NA,470,NA,NA,10.9,7.8,NA,NA,NA,NA,NA,NA,NA
482,NA,2013,NA,Pb,NA,NA,NA,NA,NA,470,NA,NA,17.1,10.8,NA,NA,NA,NA,NA,NA,NA
472,NA,2013,NA,Pb,NA,NA,NA,NA,NA,480,NA,NA,11.6,8.9,NA,NA,NA,NA,NA,NA,NA
487,NA,2013,NA,Pb,NA,NA,NA,NA,NA,480,NA,NA,9.9,6.8,NA,NA,NA,NA,NA,NA,NA
468,NA,2013,NA,Pb,NA,NA,NA,NA,NA,490,NA,NA,11.7,7.7,NA,NA,NA,NA,NA,NA,NA
473,NA,2013,NA,Pb,NA,NA,NA,NA,NA,510,NA,NA,10.4,7.2,NA,NA,NA,NA,NA,NA,NA
480,NA,2013,NA,Pb,NA,NA,NA,NA,NA,510,NA,NA,5.9,3.7,NA,NA,NA,NA,NA,NA,NA
474,NA,2013,NA,Pb,NA,NA,NA,NA,NA,550,NA,NA,5.7,4.2,NA,NA,NA,NA,NA,NA,NA
462,NA,2013,NA,Pb,NA,NA,NA,NA,NA,580,NA,NA,11.4,9.7,NA,NA,NA,NA,NA,NA,NA
486,NA,2013,NA,Pb,NA,NA,NA,NA,NA,580,NA,NA,11.3,7.1,NA,NA,NA,NA,NA,NA,NA
